,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Macedonia,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Antigua & Barbuda,Denmark,Kosovo,Vietnam,Dominican Rep.
0,66.7,,66.7,70.2,,50.0,70.4,,71.0,,33.3,69.5,66.7,,70.5,69.5,,50.0,33.3,86.1,,31.2,,28.6,100.0,68.6,50.0,,68.6,,,44.4,80.0,80.0,,70.2,33.3,75.0,,68.6,,50.0,70.0,68.6,,,54.5,82.8,16.7,33.3,50.0,25.0,69.5,,68.4,,,72.7,42.9,,,,40.0,,71.1,64.7,,,,50.0,,70.1,33.3,,70.1,33.3,33.3,70.1,70.1,,,40.0,0.0,33.3,,80.0,,70.1,40.0,,,,60.0,70.1,50.0,62.9,,68.6,,50.0,25.0,33.3,,68.6,50.0,50.0,33.3,48.7,,100.0,83.3,,,66.7,100.0,18.2,,,50.0,,30.0,55.6,,50.0,70.0,70.0,71.1,70.4,69.5
1,33.3,,0.0,12.2,,25.0,12.8,,11.8,,66.7,12.2,33.3,,11.5,12.2,,28.6,22.2,8.3,,50.0,,57.1,0.0,12.6,25.0,,12.6,,,55.6,20.0,20.0,,12.2,44.4,25.0,,12.6,,21.4,12.8,12.6,,,36.4,10.3,50.0,50.0,25.0,62.5,12.6,,12.8,,,0.0,28.6,,,,10.0,,12.0,15.7,,,,25.0,,12.1,44.4,,12.1,66.7,50.0,12.1,12.1,,,0.0,50.0,50.0,,20.0,,12.1,26.7,,,,40.0,12.1,50.0,11.4,,12.6,,28.6,66.7,66.7,,12.6,25.0,42.9,66.7,23.7,,0.0,16.7,,,33.3,0.0,72.7,,,20.0,,70.0,33.3,,23.2,12.8,12.8,12.0,12.8,12.2
2,0.0,,33.3,17.6,,25.0,16.8,,17.2,,0.0,18.3,0.0,,18.0,18.3,,21.4,44.4,5.6,,18.8,,14.3,0.0,18.8,25.0,,18.8,,,0.0,0.0,0.0,,17.6,22.2,0.0,,18.8,,28.6,17.1,18.8,,,9.1,6.9,33.3,16.7,25.0,12.5,17.9,,18.8,,,27.3,28.6,,,,50.0,,16.9,19.6,,,,25.0,,17.8,22.2,,17.8,0.0,16.7,17.8,17.8,,,60.0,50.0,16.7,,0.0,,17.8,33.3,,,,0.0,17.8,0.0,25.7,,18.8,,21.4,8.3,0.0,,18.8,25.0,7.1,0.0,27.6,,0.0,0.0,,,0.0,0.0,9.1,,,30.0,,0.0,11.1,,26.8,17.1,17.1,16.9,16.8,18.3
